CoC Number,CoC Name,CoC Category,Overall Homeless,Overall Homeless Under 18,"Overall Homeless  Age 18 to 24, ",Overall Homeless  Over 24,Overall Homeless  Female ,Overall Homeless Male
CA-500,San Jose/Santa Clara City & County CoC,Major City CoC,"10,028",539,"1,190","8,299","3,722","6,099"
CA-501,San Francisco CoC,Major City CoC,"7,754",423,"1,029","6,302","2,623","4,802"
CA-502,"Oakland, Berkeley/Alameda County CoC",Major City CoC,"9,747",583,804,"8,360","3,576","6,036"
CA-503,Sacramento City & County CoC,Major City CoC,"9,278",778,636,"7,864","3,024","6,050"
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",Other Largely Urban CoC,"2,893",106,507,"2,280","1,005","1,814"
CA-505,Richmond/Contra Costa County CoC,Largely Suburban CoC,"3,093",106,228,"2,759","1,268","1,693"
CA-506,"Salinas/Monterey, San Benito Counties CoC",Largely Rural CoC,"2,404",241,226,"1,937",656,"1,717"
CA-507,Marin County CoC,Largely Suburban CoC,"1,121",139,140,842,438,663
CA-508,Watsonville/Santa Cruz City & County CoC,Largely Suburban CoC,"2,299",92,237,"1,970",741,"1,526"
CA-509,Mendocino County CoC,Largely Rural CoC,830,71,43,716,265,525
CA-510,"Turlock, Modesto/Stanislaus County CoC",Largely Suburban CoC,"1,857",183,92,"1,582",638,"1,207"
CA-511,Stockton/San Joaquin County CoC,Largely Suburban CoC,"2,319",329,96,"1,894",891,"1,421"
CA-512,Daly/San Mateo County CoC,Largely Suburban CoC,"1,808",216,72,"1,520",578,"1,211"
CA-513,"Visalia/Kings, Tulare Counties CoC",Largely Suburban CoC,"1,235",87,70,"1,078",461,769
CA-514,Fresno City & County/Madera County CoC,Major City CoC,"4,216",464,129,"3,623","1,530","2,654"
CA-515,"Roseville, Rocklin/Placer County CoC",Largely Suburban CoC,750,59,43,648,279,467
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Largely Rural CoC,"1,837",218,97,"1,522",705,"1,123"
CA-517,Napa City & County CoC,Other Largely Urban CoC,495,17,29,449,170,321
CA-518,Vallejo/Solano County CoC,Largely Suburban CoC,"1,179",65,67,"1,047",387,771
CA-519,"Chico, Paradise/Butte County CoC",Largely Rural CoC,"1,006",95,44,867,413,581
CA-520,Merced City & County CoC,Largely Suburban CoC,855,152,63,640,316,536
CA-521,"Davis, Woodland/Yolo County CoC",Largely Suburban CoC,746,91,47,608,272,473
CA-522,Humboldt County CoC,Largely Rural CoC,"1,648",47,61,"1,540",454,"1,181"
CA-523,"Colusa, Glenn, Trinity Counties CoC",Largely Rural CoC,340,107,16,217,161,179
CA-524,Yuba City & County/Sutter County CoC,Largely Suburban CoC,"1,094",276,64,754,518,574
CA-525,El Dorado County CoC,Largely Suburban CoC,511,14,84,413,167,325
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Largely Rural CoC,625,49,28,548,256,367
CA-527,Tehama County CoC,Largely Rural CoC,291,40,14,237,104,187
CA-529,Lake County CoC,Largely Rural CoC,339,27,25,287,124,214
CA-530,"Alpine, Inyo, Mono Counties CoC",Largely Rural CoC,140,31,7,102,57,82
CA-531,Nevada County CoC,Largely Rural CoC,527,60,25,442,220,302
CA-600,Los Angeles City & County CoC,Major City CoC,"65,111","6,346","2,786","55,979","20,724","42,740"
CA-601,San Diego City and County CoC,Major City CoC,"8,427","1,175",667,"6,585","2,879","5,485"
CA-602,"Santa Ana, Anaheim/Orange County CoC",Largely Suburban CoC,"5,718",722,235,"4,761","2,069","3,617"
CA-603,Santa Maria/Santa Barbara County CoC,Largely Suburban CoC,"1,962",135,75,"1,752",706,"1,251"
CA-604,Bakersfield/Kern County CoC,Major City CoC,"1,603",167,99,"1,337",518,"1,067"
CA-606,Long Beach CoC,Major City CoC,"3,296",68,137,"3,091",900,"2,321"
CA-607,Pasadena CoC,Other Largely Urban CoC,512,43,32,437,160,348
CA-608,Riverside City & County CoC,Largely Suburban CoC,"3,316",257,312,"2,747","1,185","2,111"
CA-609,San Bernardino City & County CoC,Largely Suburban CoC,"3,333",270,150,"2,913","1,144","2,179"
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",Other Largely Urban CoC,"2,248",155,86,"2,007",742,"1,493"
CA-612,Glendale CoC,Other Largely Urban CoC,225,45,5,175,90,134
CA-613,Imperial County CoC,Largely Suburban CoC,"1,057",96,29,932,370,675
CA-614,San Luis Obispo County CoC,Largely Suburban CoC,"1,448",255,70,"1,123",631,798
